Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
VALENCIA KNUTSEN,9434266,225420000,Spain,290,46,110920,97730,CL QUINTERO,CL QUINTERO,2021-04-15-10:00,11.4,10.91871 N/61.60814 W,55.9°,17.4 kn,-,2021-03-28,2021-03-27-09:30
SHAHAMAH,9035852,636010085,Liberia,293,46,110895,71931,AE DAS>IN DAH,Dahej,2021-04-01-00:00,11.0,24.03561 N/60.39053 E,113.3°,7.0 kn,-,2021-03-28,2021-03-25-23:40
GHASHA,9038452,636010183,Liberia,293,46,110895,71593,>CN YIU LIAN DD,NYIULIANDD,2021-03-11-05:05,7.5,22.5009 N/113.84511 E,169.7°,0.0 kn,Moored,2021-03-28,2021-03-28-15:30
ISH,9035864,636010329,Liberia,293,46,110895,71564,CN SZX>AE DAS,DasIsland,2021-04-08-02:02,9.8,3.71948 N/100.08725 E,313.0°,11.9 kn,-,2021-03-28,2021-03-22-08:49
AL KHAZNAH,9038440,636010034,Liberia,293,46,110895,71543,SHARJAH,Sharjah,2021-04-02-03:00,6.5,25.75465 N/53.91345 E,6.1°,0.6 kn,At anchor,2021-03-28,2021-03-28-15:24
STENA CRYSTAL SKY,9383900,235099946,United Kingdom,298,46,109949,96889,...,...,2021-04-13-00:01,9.0,23.34827 N/122.37817 E,14.0°,17.5 kn,-,2021-03-28,2021-03-09-22:24
STENA CLEAR SKY,9413327,235100007,United Kingdom,298,46,109949,96811,CL MJS,Mejillones,2021-03-28-09:00,9.2,32.41238 S/71.71863 W,344.0°,15.2 kn,-,2021-03-28,2021-03-26-16:16
EKAPUTRA 1,8706155,525022371,Indonesia,290,46,109281,78988,ID JKT,Jakarta,2021-03-29-00:00,9.7,5.60393 S/107.51785 E,96.3°,12.6 kn,-,2021-03-28,2021-03-06-06:48
METHANE BECKI ANNE,9516129,310597000,Bermuda,291,45,109004,86269,NGBON,Bonny,2021-04-10-05:00,9.1,1.32266 N/103.29855 E,308.1°,17.8 kn,-,2021-03-28,2021-03-20-08:42
METHANE PATRICIA CAMILA,9425277,310606000,Bermuda,291,45,109004,86272,FOR ORDERS,FOR ORDERS,2021-04-01-22:00,9.5,22.39939 N/117.03942 E,114.3°,17.5 kn,-,2021-03-28,2021-03-27-10:21
METHANE JULIA LOUISE,9412880,310584000,Bermuda,290,45,109004,86125,FOR ORDERS,FOR ORDERS,2021-04-07-16:01,9.1,37.0253 N/126.20649 E,240.5°,12.4 kn,-,2021-03-28,2021-03-27-07:13
SERI BALQIS,9331672,533894000,Malaysia,295,47,107633,91198,GBFLM,GBFLM,2021-03-18-13:00,9.6,50.11448 N/5.04383 W,102.0°,0.4 kn,At anchor,2021-03-28,2021-03-28-15:29
SERI BALHAF,9331660,533868000,Malaysia,295,47,107633,91201,US COVE POINT,US COVE POINT,2021-04-01-04:01,9.7,38.82882 N/31.33967 W,260.0°,14.1 kn,-,2021-03-28,2021-03-19-14:33
ENERGY ATLANTIC,9649328,256647000,Malta,290,46,106771,89766,SINGAPORE OPL,Singapore,2021-04-02-06:00,9.2,23.33753 N/122.24811 E,186.5°,13.8 kn,Under way,2021-03-28,2021-03-28-15:25
TORMAN II,9006681,538008702,Marshall Islands,272,47,106151,67554,-,-,-,9.1,1.47085 N/103.82903 E,79.2°,0.0 kn,Moored,2021-03-28,2021-03-28-15:28
ADAM LNG,9501186,538005753,Marshall Islands,289,46,105975,90986,GALVESTON OFFSHORE,GALVESTON OFFSHORE,2021-03-27-12:00,9.1,28.66065 N/94.665 W,111.4°,0.4 kn,Restricted,2021-03-28,2021-03-28-15:31
BW PAVILION LEEARA,9640645,565515000,Singapore,289,46,105945,91496,CAPE OF GOOD HOPE,CAPE OF GOOD HOPE,2021-03-25-18:00,11.7,28.9384 N/95.30722 W,213.5°,0.0 kn,Moored,2021-03-28,2021-03-28-15:31
