,IMO,Dport,Dcountry,Dtime,Aport,Acountry,Atime,D_NA,A_NA,D_SA,A_SA,D_AS,A_AS,D_OC,A_OC,D_AF,A_AF,D_EU,A_EU,Eur_Spot_0,Eur_Spot_-3,Eur_Spot_-6,Eur_Spot_-9,Eur_Spot_-12,US_Spot_0,US_Spot_-3,US_Spot_-6,US_Spot_-9,US_Spot_-12,Asia_Fut_0,Asia_Fut_-3,Asia_Fut_-6,Asia_Fut_-9,Asia_Fut_-12,Eur_Fut_0,Eur_Fut_-3,Eur_Fut_-6,Eur_Fut_-9,Eur_Fut_-12
35,9001784,Shanghai, China,2021-02-17,Shanghai Anch., China,2021-02-18,0,0,0,0,1,1,0,0,0,0,0,0,16.532,17.664,19.598,18.94,18.227,23.86,6.12,6.5,3.4,3.49,9.06,9.06,9.06,9.06,9.06,16.554000000000002,16.567999999999998,17.401,20.157,20.157
36,9001784,Shanghai Anch., China,2021-02-18,"Bintulu,Sarawak", Malaysia,2021-02-26,0,0,0,0,1,1,0,0,0,0,0,0,16.743,17.671,18.016,20.853,18.787,8.56,11.32,6.12,3.35,3.49,9.06,9.06,9.06,9.06,9.06,17.355999999999998,16.567999999999998,17.599,19.109,20.157
37,9001784,"Bintulu,Sarawak", Malaysia,2021-02-26,Shanghai, China,2021-03-04,0,0,0,0,1,1,0,0,0,0,0,0,16.077,15.841,16.625,16.532,17.664,2.66,2.94,4.96,23.86,6.12,9.06,9.06,9.06,9.06,9.06,15.722,16.258,16.552,16.554000000000002,16.567999999999998
38,9001784,Shanghai, China,2021-03-04,Shanghai, China,2021-03-19,0,0,0,0,1,1,0,0,0,0,0,0,15.915,15.885,16.077,15.841,16.625,2.79,2.7,2.66,2.94,4.96,9.06,9.06,9.06,9.06,9.06,15.981,16.05,15.722,16.258,16.552
39,9001784,Shanghai, China,2021-03-19,Shanghai, China,2021-04-15,0,0,0,0,1,1,0,0,0,0,0,0,18.347,18.564,18.353,17.102999999999998,16.569000000000006,2.53,2.5,2.65,2.62,2.67,9.06,9.06,9.06,9.06,9.06,17.262,17.66,18.454,17.561,16.155
40,9001784,Shanghai, China,2021-04-15,Shanghai Anch., China,2021-04-16,0,0,0,0,1,1,0,0,0,0,0,0,20.338,19.476,19.75,19.245,19.175,2.62,2.5,2.48,2.44,2.52,9.06,9.06,9.06,9.06,9.06,20.225,19.651,18.943,19.794,19.159
41,9001784,Shanghai Anch., China,2021-04-16,"Bintulu,Sarawak", Malaysia,2021-04-23,0,0,0,0,1,1,0,0,0,0,0,0,20.618,20.276,19.312,20.103,19.175,2.63,2.57,2.48,2.43,2.43,9.06,9.06,9.06,9.06,9.06,20.551,19.469,18.943,19.303,19.794
42,9016492,Macun, China,2021-03-01,Dongguan, China,2021-03-14,0,0,0,0,1,1,0,0,0,0,0,0,15.885,16.077,15.841,16.625,16.532,2.7,2.66,2.94,4.96,23.86,9.06,9.06,9.06,9.06,9.06,16.05,15.722,16.258,16.552,16.554000000000002
43,9016492,Dongguan, China,2021-03-14,Macun, China,2021-03-25,0,0,0,0,1,1,0,0,0,0,0,0,18.353,17.709,16.601,16.235,16.322,2.58,2.7,2.67,2.72,2.87,9.06,9.06,9.06,9.06,9.06,17.910999999999994,18.138,16.155,16.368,15.89
44,9016492,Macun, China,2021-03-25,Macun, China,2021-04-05,0,0,0,0,1,1,0,0,0,0,0,0,18.662,17.737000000000005,18.347,18.564,18.353,2.52,2.55,2.53,2.5,2.65,9.06,9.06,9.06,9.06,9.06,18.363,18.008,17.262,17.66,18.454
