IMO,Port,Country,Arrival,Departure,In Port
9377547,Ras Laffan, Qatar,"Apr 24, 13:10","Apr 25, 11:57","22h 46m"
9377547,Dahej, India,"Apr 20, 08:48","Apr 21, 12:13","1d 3h"
9377547,Ras Laffan, Qatar,"Apr 15, 20:56","Apr 17, 03:48","1d 6h"
9377547,Al Fujayrah Anch., United Arab Emirates (UAE),"Apr 14, 07:45","Apr 14, 15:16","7h 31m"
9377547,Dahej, India,"Apr 10, 15:41","Apr 11, 17:17","1d 1h"
8608872,Withnell Bay, Australia,"Apr 28, 00:51","-","-"
8608872,Sakai, Japan,"Apr 13, 01:36","Apr 14, 02:46","1d 1h"
8608872,Dampier Anch., Australia,"Mar 26, 05:56","Mar 29, 06:19","3d"
8608872,Withnell Bay, Australia,"Mar 25, 05:56","Mar 26, 04:11","22h 15m"
8608872,Dampier Anch., Australia,"Mar 17, 01:29","Mar 22, 01:28","4d 23h"
9332054,Yung An, Taiwan,"Apr 24, 00:05","Apr 24, 23:34","23h 28m"
9332054,Prigorodnoye, Russia,"Apr 9, 00:56","Apr 10, 17:20","1d 16h"
9332054,Kitakyushu, Japan,"Mar 3, 04:50","Mar 4, 05:10","1d"
9155078,Anjeong, Korea,"Apr 28, 03:14","-","-"
9155078,Pyeongtaek, Korea,"Apr 19, 23:49","Apr 20, 23:42","23h 53m"
9155078,Qalhat, Oman,"Apr 3, 14:38","Apr 4, 17:08","1d 2h"
9155078,Pyeongtaek, Korea,"Mar 19, 22:34","Mar 20, 22:48","1d"
9634098,Savannah, United States (USA),"Apr 28, 10:02","-","-"
9634098,Savannah Anch., United States (USA),"Apr 28, 00:36","Apr 28, 08:01","7h 25m"
9634098,Quintero, Chile,"Apr 1, 16:17","Apr 2, 19:34","1d 3h"
9634098,Savannah, United States (USA),"Mar 7, 04:42","Mar 9, 10:51","2d 6h"
9613159,Punta Europa, Equatorial Guinea,"Apr 19, 07:08","Apr 20, 13:10","1d 6h"
9613159,Port Elizabeth Anch., South Africa,"Apr 6, 05:00","Apr 7, 12:56","1d 7h"
9613159,Kochi, India,"Mar 19, 02:35","Mar 20, 04:29","1d 1h"
9613159,Port Said Anch., Egypt,"Mar 10, 19:35","Mar 11, 02:38","7h 2m"
9613159,Algeciras Anch., Spain,"Mar 5, 20:25","Mar 6, 13:48","17h 23m"
9863182,Singapore Anch. 3, Singapore,"Mar 26, 23:40","Mar 28, 23:46","2d"
9863182,Ningbo, China,"Mar 17, 05:44","Mar 19, 06:52","2d 1h"
