IMO,Port,Country,Arrival,Departure,In Port
9750256,Bonny, Nigeria,"04/21, 19:33","04/23, 05:44",1d 10h
9750658,Portland Anch., United Kingdom (UK),"03/03, 07:11","03/03, 20:26",13h 15m
9750658,Sabetta, Russia,"03/11, 14:51","03/13, 13:28",1d 22h
9750658,Thamesport, United Kingdom (UK),"03/22, 02:54","03/23, 04:10",1d 1h
9750658,Sabetta, Russia,"03/29, 19:13","03/30, 19:49",1d
9750658,Mugardos, Spain,"04/09, 01:50","04/10, 02:05",1d
9750658,Sabetta, Russia,"04/19, 00:30","04/22, 01:33",3d 1h
9750658,Zeebrugge, Belgium,"04/28, 15:28","04/29, 15:37",1d
9750658,Sabetta, Russia,"05/05, 23:37","05/07, 10:06",1d 10h
9750660,Milford Haven, United Kingdom (UK),"03/04, 00:57","03/05, 08:32",1d 7h
9750660,Sabetta, Russia,"03/13, 12:21","03/14, 12:22",1d
9750660,Sabetta, Russia,"03/28, 01:56","03/29, 07:36",1d 5h
9750660,Thamesport, United Kingdom (UK),"04/07, 06:37","04/08, 07:38",1d 1h
9750660,Sabetta, Russia,"04/15, 14:46","04/17, 07:25",1d 16h
9750660,Rotterdam Maasvlakte, Netherlands,"04/24, 07:24","04/25, 08:57",1d 1h
9750660,Sabetta, Russia,"05/03, 16:44","05/06, 03:35",2d 10h
9750672,Mugardos, Spain,"02/13, 16:40","02/15, 10:37",1d 17h
9750672,Sabetta, Russia,"02/24, 19:55","02/25, 17:48",21h 53m
9750672,Montoir, France,"03/06, 06:20","03/08, 00:31",1d 18h
9750672,Brest, France,"03/14, 13:15","03/24, 09:46",9d 20h
9750672,Sabetta, Russia,"04/03, 02:48","04/05, 20:30",2d 17h
9750672,Thamesport, United Kingdom (UK),"04/17, 01:08","04/18, 04:17",1d 3h
9750672,Sabetta, Russia,"04/26, 02:27","04/27, 23:31",1d 21h
9750672,Antwerpen Anch., Belgium,"05/05, 09:16","05/05, 20:01",10h 45m
9750672,Zeebrugge, Belgium,"05/05, 22:26","05/06, 23:12",1d
9750696,Sabetta, Russia,"03/08, 01:25","03/09, 07:51",1d 6h
9750696,Dunkerque, France,"03/17, 11:02","03/18, 11:46",1d
9750696,Sabetta, Russia,"03/25, 23:57","03/27, 05:49",1d 5h
9750696,Dunkerque, France,"04/03, 12:46","04/04, 12:45",23h 59m
9750696,Sabetta, Russia,"04/12, 19:51","04/13, 20:46",1d
9750696,Sabetta, Russia,"04/23, 22:13","04/26, 09:01",2d 10h
9750696,Dunkerque, France,"05/04, 19:58","05/05, 20:39",1d
9750701,Zeebrugge, Belgium,"03/09, 12:38","03/11, 19:11",2d 6h
9750701,Sabetta, Russia,"03/18, 21:44","03/20, 02:22",1d 4h
9750701,Zeebrugge, Belgium,"03/28, 14:07","03/29, 14:36",1d
9750701,Sabetta, Russia,"04/05, 13:45","04/06, 14:03",1d
9750701,Melkoya, Norway,"04/10, 07:53","04/13, 03:30",2d 19h
9750701,Sabetta, Russia,"04/17, 02:11","04/18, 21:49",1d 19h
9750701,Montoir Anch., France,"04/27, 08:34","04/28, 02:19",17h 45m
9750701,Montoir, France,"04/28, 03:54","04/29, 05:13",1d 1h
9750701,Sabetta, Russia,"05/08, 11:18","05/10, 02:53",1d 15h
9750713,Montoir, France,"03/04, 06:58","03/05, 15:45",1d 8h
9750713,Zeebrugge, Belgium,"03/23, 09:46","03/24, 10:37",1d
9750713,Sabetta, Russia,"04/01, 16:42","04/02, 21:22",1d 4h
9750713,Sabetta, Russia,"04/12, 05:53","04/13, 08:03",1d 2h
9750713,Antwerpen Anch., Belgium,"04/20, 15:25","04/21, 11:53",20h 27m
9750713,Zeebrugge, Belgium,"04/21, 15:38","04/22, 15:43",1d
