Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Date scraping,Date position
LNG ADAMAWA,9262211,310469000,Bermuda,289,48,115993,79566,NGBON,"Mar 20, 01:00",10.3,9.29222 N/19.33756 W,180.0°, 16.3 kn,2021-03-19,"Mar 10, 2021 00:52 UTC"
LNG AKWA IBOM,9262209,310453000,Bermuda,289,48,115993,79633,NGBON>FRMTKIEL,"Mar 19, 15:45",11.2,47.29908 N/2.14197 W,346.0°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
SM EAGLE,9761827,370895000,Panama,295,46,115716,97975,KRTYG,"Apr 2, 01:00",11.1,15.39167 N/98.6943 W,300.4°, 17.4 kn,2021-03-19,"Mar 15, 2021 00:34 UTC"
GASLOG GEORGETOWN,9864916,310800000,Bermuda,293,46,115636,89000,-,"Mar 23, 23:00",11.5,38.82932 N/21.71845 W,51.5°, 11.9 kn,2021-03-19,"Mar 19, 2021 05:37 UTC"
HYUNDAI PEACEPIA,9761853,374816000,Panama,296,46,115541,98344,USSAB>PACTB,"Mar 21, 23:00",11.6,24.25985 N/88.73096 W,129.0°, 18.9 kn,2021-03-19,"Mar 19, 2021 09:53 UTC"
BRITISH CONTRIBUTOR,9766554,232006298,Isle of Man,295,46,115366,94558,ES ALG,"Mar 31, 04:00",11.3,25.00739 N/89.19229 W,105.0°, 16.6 kn,2021-03-19,"Mar 19, 2021 20:40 UTC"
BRITISH MENTOR,9766578,232006296,Isle of Man,295,46,115366,94528,JP KZU,"Mar 22, 07:00",12.5,19.91141 S/117.00243 E,30.1°, 15.9 kn,2021-03-19,"Mar 12, 2021 12:52 UTC"
BRITISH LISTENER,9766566,232006297,Isle of Man,295,46,115366,94494,US NSS,"Mar 29, 12:00",9.6,46.58605 N/16.98687 W,250.5°, 17.6 kn,2021-03-19,"Mar 18, 2021 05:24 UTC"
BRITISH PARTNER,9766530,232006301,Isle of Man,295,46,115366,94442,TT PTF,"Mar 19, 09:30",8.9,10.19085 N/61.69927 W,180.0°, 0.0 kn,2021-03-19,"Mar 19, 2021 10:34 UTC"
PEARL LNG,9862346,215573000,Malta,293,46,115345,88000,N ATL,"Mar 28, 12:00",9.2,37.48812 N/28.69634 W,254.4°, 14.3 kn,2021-03-19,"Mar 16, 2021 21:48 UTC"
FLEX RANGER,9709025,538007621,Marshall Islands,293,46,115174,88684,FOR ORDER,"Apr 8, 08:00",9.2,20.35149 N/68.02479 E,325.3°, 9.2 kn,2021-03-19,"Mar 19, 2021 20:08 UTC"
FLEX RAINBOW,9709037,538007620,Marshall Islands,293,46,115174,88684,FOR ORDERS,"Mar 27, 00:01",10.5,8.40236 N/79.44877 W,178.6°, 18.2 kn,2021-03-19,"Mar 13, 2021 01:44 UTC"
GASLOG GLADSTONE,9744025,310779000,Bermuda,293,46,115024,87955,FOR_ORDERS,"Apr 2, 00:01",11.8,13.25472 N/100.39766 W,295.7°, 19.1 kn,2021-03-19,"Mar 14, 2021 08:03 UTC"
PAN EUROPE,9750244,477157300,Hong Kong,290,47,114996,88613,-,-,11.4,37.32593 N/126.48992 E,267.6°, 10.5 kn,2021-03-19,"Feb 7, 2021 23:50 UTC"
PAN AMERICAS,9750232,477142700,Hong Kong,290,47,114996,88425,FOR ORDERS,"Apr 19, 06:00",11.7,26.06673 N/79.37037 W,33.3°, 19.5 kn,2021-03-19,"Mar 19, 2021 17:52 UTC"
PAN AFRICA,9750256,477168300,Hong Kong,290,47,114996,88438,FOR ORDERS,"Mar 22, 00:01",11.4,19.90218 N/62.7423 E,60.9°, 14.1 kn,2021-03-19,"Mar 19, 2021 21:05 UTC"
LNG PHECDA,9834313,477345700,Hong Kong,295,45,114790,97000,ZEEBRUGGE,"Mar 27, 00:01",9.4,32.08569 N/31.15796 E,294.2°, 20.3 kn,2021-03-19,"Mar 19, 2021 20:31 UTC"
LNG DUBHE,9834296,477327900,Hong Kong,295,45,114790,91588,KR TYG,"Mar 27, 03:00",11.7,6.74014 N/76.8712 E,107.6°, 19.4 kn,2021-03-19,"Mar 17, 2021 13:21 UTC"
LNG MERAK,9834301,477345800,Hong Kong,295,45,114790,91451,CN TXG,"Mar 31, 16:01",11.5,20.69745 N/38.66484 E,153.0°, 18.8 kn,2021-03-19,"Mar 15, 2021 04:11 UTC"
PATRIS,9766889,636018010,Liberia,295,46,114758,95743,HROMI,"Mar 23, 05:00",11.0,35.9355 N/5.49274 W,75.2°, 21.2 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
KINISIS,9785158,636018011,Liberia,295,46,114758,95673,POINT FORTIN,"Apr 18, 11:00",9.0,36.91285 N/123.62862 E,169.2°, 18.5 kn,2021-03-19,"Mar 18, 2021 11:51 UTC"
BW MAGNOLIA,9850666,563092200,Singapore,295,46,114622,95547,CRISTOBAL ANCHORAGE,"Mar 8, 13:00",10.2,9.39995 N/79.94183 W,297.2°, 0.3 kn,2021-03-19,"Mar 19, 2021 21:11 UTC"
GASLOG HONG KONG,9748904,310773000,Bermuda,290,46,114470,92266,USFPO,"Mar 22, 11:00",9.3,26.49722 N/74.40619 W,259.3°, 18.0 kn,2021-03-19,"Mar 19, 2021 08:40 UTC"
FLEX RESOLUTE,9851646,538008815,Marshall Islands,295,46,114380,95500,RED SEA FOR ORDERS,"Mar 24, 04:00",9.0,19.62387 N/38.65883 E,331.6°, 17.6 kn,2021-03-19,"Mar 19, 2021 21:04 UTC"
FLEX FREEDOM,9862308,538008814,Marshall Islands,295,46,114380,95500,AUBWB,"Mar 20, 08:00",9.5,8.87522 N/121.18673 E,194.2°, 7.7 kn,2021-03-19,"Mar 15, 2021 15:24 UTC"
BW LILAC,9758076,248587000,Malta,295,46,114364,95978,USCAM,"Mar 19, 18:30",8.9,30.04038 N/93.33311 W,242.8°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:12 UTC"
BW TULIP,9758064,563041600,Singapore,295,46,114364,95785,MEJILLONES,"Mar 20, 06:00",11.1,8.41824 N/79.47601 W,180.9°, 18.8 kn,2021-03-19,"Mar 14, 2021 02:46 UTC"
BW PAVILION ARANDA,9792606,563082400,Singapore,295,46,114355,95876,USCRP,"Mar 29, 00:01",9.7,51.45314 N/5.76371 W,258.4°, 12.0 kn,2021-03-19,"Mar 14, 2021 17:42 UTC"
LNG SOKOTO,9216303,310378000,Bermuda,289,48,114354,79822,ESHUV,"Mar 21, 10:30",11.3,29.95798 N/12.43187 W,-, 14.8 kn,2021-03-19,"Mar 19, 2021 15:29 UTC"
LNG RIVERS,9216298,310370000,Bermuda,289,48,114354,79885,BONNY NG,"Mar 19, 08:00",10.2,9.14362 N/18.76238 W,-, 14.6 kn,2021-03-19,"Mar 13, 2021 06:33 UTC"
LNG BAYELSA,9241267,310381000,Bermuda,289,48,114354,79822,WEST AFRICA,"Apr 14, 08:00",10.4,3.28327 N/100.55813 E,316.0°, 17.5 kn,2021-03-19,"Mar 16, 2021 04:57 UTC"
GIGIRA LAITEBO,9360922,309415000,Bahamas,298,46,114277,87194,YUNG_AN,"Mar 26, 07:00",11.8,34.465 N/137.05643 E,177.0°, 12.0 kn,2021-03-19,"Mar 4, 2021 10:50 UTC"
SPIRIT OF HELA,9361639,311013700,Bahamas,298,46,114277,87130,PG POM,"Mar 16, 23:00",9.7,1.4132 N/104.49242 E,52.0°, 17.2 kn,2021-03-19,"Mar 9, 2021 15:36 UTC"
ENERGY ENDEAVOUR,9854624,538008879,Marshall Islands,295,46,114195,93500,USNSS,"Mar 19, 05:01",10.0,29.74303 N/93.86954 W,238.0°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:12 UTC"
ENERGY PACIFIC,9854612,538008878,Marshall Islands,295,46,114195,95000,FOR ORDERS,"Mar 13, 00:25",9.8,6.32832 S/105.26954 E,244.6°, 17.0 kn,2021-03-19,"Mar 18, 2021 11:43 UTC"
PAPUA,9613135,477518900,Hong Kong,290,47,114166,96319,CN TAO>PG POM,"Mar 18, 19:00",9.4,34.53249 N/122.64172 E,131.0°, 19.9 kn,2021-03-19,"Mar 10, 2021 11:37 UTC"
MARVEL KITE,9760782,563069500,Singapore,293,46,114084,89266,...,"Mar 21, 09:00",11.6,26.10433 N/90.11499 W,126.5°, 17.2 kn,2021-03-19,"Mar 17, 2021 16:43 UTC"
MARVEL HAWK,9760770,563063200,Singapore,293,46,114084,89432,-,"Apr 7, 06:00",9.3,34.7857 S/22.14566 E,262.1°, 10.5 kn,2021-03-19,"Mar 10, 2021 03:46 UTC"
MARVEL FALCON,9760768,563048500,Singapore,293,46,114084,89431,US_NSS,"Mar 19, 21:00",8.7,29.13294 N/93.65421 W,146.0°, 13.9 kn,2021-03-19,"Mar 19, 2021 20:58 UTC"
MINERVA KALYMNOS,9869942,215890000,Malta,-,-,115635,89000,CN LYG,"Mar 27, 16:01",11.6,20.79302 S/115.6263 E,234.0°, 9.9 kn,2021-03-19,"Mar 17, 2021 22:23 UTC"
HYUNDAI TECHNOPIA,9155145,441231000,Korea,289,48,113998,77584,-,-,10.2,3.92838 N/100.04537 E,307.0°, 17.6 kn,2021-03-19,"Feb 14, 2021 07:01 UTC"
HYUNDAI COSMOPIA,9155157,441260000,Korea,289,48,113998,77591,QARLF,"Mar 19, 15:30",9.9,25.93586 N/51.60332 E,240.3°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
