Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
CESI BEIHAI,9672844,477884800,Hong Kong,290,46,113397,95599,AU GLT,Gladstone,2021-04-07-00:01,9.3,22.15714 N/115.05296 E,112.2°,16.7 kn,-,2021-03-31,2021-03-26-12:12
BAHRAIN SPIRIT,9771080,408919000,Bahrain,295,46,113274,95289,CNTAO,Qingdao,2021-03-31-06:00,11.2,35.56823 N/119.75392 E,29.8°,2.7 kn,Under way,2021-03-31,2021-03-31-00:03
OAK SPIRIT,9681699,311000247,Bahamas,295,46,113263,95452,FOR ORDERS,FOR ORDERS,2021-04-15-18:30,10.9,24.00421 N/87.1154 W,126.0°,17.1 kn,-,2021-03-31,2021-03-17-00:52
MEGARA,9770945,311000478,Bahamas,295,46,113263,95212,-,-,-,9.7,10.29481 N/61.73063 W,349.4°,0.1 kn,At anchor,2021-03-31,2021-03-31-07:23
MAGDALA,9770921,311000476,Bahamas,295,46,113263,95449,FOR ORDERS,FOR ORDERS,2021-04-06-10:00,11.1,26.6598 N/79.60317 W,5.7°,17.0 kn,-,2021-03-31,2021-03-24-13:28
TORBEN SPIRIT,9721401,311000520,Bahamas,295,46,113263,95253,QARLF,RasLaffan,2021-03-28-21:00,9.4,25.81767 N/51.90143 E,238.2°,0.0 kn,At anchor,2021-03-31,2021-03-31-06:50
MUREX,9705641,311000475,Bahamas,295,46,113263,95235,CNDAG,Dalian,2021-04-09-22:00,10.6,23.954 S/152.15864 E,99.3°,18.2 kn,Under way,2021-03-31,2021-03-31-02:57
MACOMA,9705653,311000472,Bahamas,295,46,113263,95253,FOR ORDERS,FOR ORDERS,2021-04-16-05:00,9.3,6.40836 S/105.14765 E,249.0°,14.3 kn,-,2021-03-31,2021-03-23-10:54
MYRINA,9770933,311000477,Bahamas,295,46,113263,95378,-,-,-,11.5,31.28919 N/127.56893 E,27.4°,16.3 kn,-,2021-03-31,2021-03-30-06:59
FLEX ENDEAVOUR,9762261,215386000,Malta,295,46,113049,95803,FANGCHENG CHINA,Fangcheng,2021-04-01-00:00,18.5,33.88722 N/134.89872 E,176.1°,14.2 kn,-,2021-03-31,2021-03-07-09:47
MARAN GAS VERGINA,9732369,241467000,Greece,295,46,113037,95194,PACIFIC OCEAN,PACIFIC OCEAN,2021-04-01-00:01,11.1,23.95621 S/152.25054 E,97.2°,18.0 kn,-,2021-03-31,2021-03-22-04:48
MARAN GAS ROXANA,9701229,241415000,Greece,295,46,113037,95194,FOR ORDERS,FOR ORDERS,2021-04-06-06:00,9.4,16.87296 N/68.45341 E,215.6°,15.1 kn,-,2021-03-31,2021-03-19-10:46
MARAN GAS AMPHIPOLIS,9701217,241414000,Greece,295,46,113037,95194,FAR EAST,FAR EAST,2021-04-09-06:00,11.5,32.68429 S/71.63541 W,330.6°,11.2 kn,-,2021-03-31,2021-03-08-13:18
TESSALA,9761243,605076060,Algeria,291,46,112867,94575,TRALI,Aliaga,2021-04-03-04:00,11.7,37.47185 N/10.77521 E,102.3°,15.5 kn,Under way,2021-03-31,2021-03-31-01:46
OUGARTA,9761267,605076070,Algeria,291,46,112867,94575,ESFRO,Ferrol,2021-03-22-08:25,9.0,43.47594 N/8.22936 W,65.2°,0.0 kn,-,2021-03-31,2021-03-22-11:37
PRACHI,9723801,563178000,Singapore,295,46,112791,90328,AU BWB >>CN JIANGSU,AU BWB >>CN JIANGSU,2021-04-03-00:01,11.7,18.94075 S/115.8319 E,359.9°,17.9 kn,-,2021-03-31,2021-03-25-06:41
GASLOG GIBRALTAR,9707510,310757000,Bermuda,291,46,112764,87981,FRDKK>USSAB,Sabine,2021-03-13-01:00,9.3,43.559 N/14.108 W,228.0°,16.4 kn,-,2021-03-31,2021-03-30-19:26
GASLOG GENEVA,9707508,310755000,Bermuda,291,46,112764,87760,CAPE TOWN,CapeTown,2021-04-02-21:00,11.6,33.48341 S/17.79465 E,315.8°,11.9 kn,-,2021-03-31,2021-03-18-11:59
