Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL JASSASIYA,9324435,240615000,Greece,285,43,97496,84554,"Ras Laffan, Qatar",2021-05-06-21:08,ORDERS,,2021-05-10-01:00,11.0,,88.0°,14.6 kn,Under way,2021-05-09,2021-05-09-02:16
GOLAR MARIA,9320374,538002609,Marshall Islands,277,43,97491,84823,"Ingleside, United States (USA)",2021-04-30-16:49,Destination not available,,-,11.1,,117.8°,14.9 kn,-,2021-05-09,2021-04-30-20:25
MARAN GAS CORONIS,9331048,240639000,Greece,285,43,97491,84776,"Port Said Anch., Egypt",2021-05-09-02:11,FOR ORDERS,,2021-05-08-06:00,11.1,,178.1°,9.6 kn,Under way,2021-05-09,2021-05-09-06:26
SALALAH LNG,9300817,371561000,Panama,285,43,96671,81034,"Tieshan, China",2021-04-21-05:59,QAL OMN,,2021-05-05-08:00,9.2,,131.0°,18.0 kn,-,2021-05-09,2021-05-08-03:26
IBRA LNG,9326689,357734000,Panama,285,43,96671,81057,"Dapeng, China",2021-04-29-09:01,"Galle, Sri Lanka",,2021-05-09-04:30,9.6,,277.0°,13.9 kn,Under way,2021-05-09,2021-05-09-04:50
MILAHA QATAR,9321732,229129000,Malta,283,43,96508,77803,"Ras Laffan, Qatar",2021-04-07-04:13,Destination not available,,-,9.1,,188.9°,0.0 kn,-,2021-05-09,2021-05-04-05:38
AL THAKHIRA,9298399,309975000,Bahamas,283,43,95824,78542,"Port Said Anch., Egypt",2021-04-11-04:07,"Ras Laffan Anch., Qatar",,2021-04-24-08:12,9.4,,189.9°,0.0 kn,At anchor,2021-05-09,2021-05-09-05:08
EJNAN,9334076,309201000,Bahamas,283,43,95824,78403,"As Suways (Suez) Anch., Egypt",2021-05-05-05:05,IT ROVIGO,,2021-05-12-16:00,11.5,,312.8°,13.4 kn,-,2021-05-09,2021-05-07-16:34
LUSAIL,9285952,311628000,Bahamas,283,43,95824,78489,"Port Said Anch., Egypt",2021-05-04-02:34,"Ras Laffan, Qatar",,2021-05-11-17:00,9.4,,113.2°,17.9 kn,-,2021-05-09,2021-05-07-12:41
METHANE LYDON VOLNEY,9307205,310514000,Bermuda,283,43,95753,78957,"Cartagena Anch., Spain",2021-04-08-11:10,FOR ORDERS,,2021-05-09-20:00,9.7,,284.5°,12.5 kn,Under way,2021-05-09,2021-05-08-21:13
METHANE HEATHER SALLY,9321744,310528000,Bermuda,283,43,95753,79084,"Ras Laffan, Qatar",2021-05-05-16:39,ARGENTINA FOR ORDERS,,2021-05-29-05:00,9.5,,115.2°,17.9 kn,-,2021-05-09,2021-05-06-16:47
METHANE RITA ANDREA,9307188,310499000,Bermuda,283,43,95753,79046,"Batu Ampar Anch., Indonesia",2021-04-25-01:34,IDBTM-AUBWB,,2021-05-11-10:30,9.4,,216.1°,0.1 kn,-,2021-05-09,2021-05-03-15:57
METHANE SHIRLEY ELISABETH,9321756,310535000,Bermuda,283,43,95753,78997,"Ras Laffan Anch., Qatar",2021-05-04-22:35,CNJYG,,2021-05-31-00:01,11.4,,130.2°,16.9 kn,-,2021-05-09,2021-05-07-12:32
METHANE JANE ELIZABETH,9307190,310510000,Bermuda,283,43,95753,78984,"Taichung, Taiwan",2021-05-09-02:16,Destination not available,,-,11.4,,214.2°,16.3 kn,Under way,2021-05-09,2021-05-09-08:54
SERI ANGKASA,9321665,533957000,Malaysia,283,43,95729,71500,"Gladstone, Australia",2021-04-26-06:40,"Pengerang, Malaysia",,2021-05-16-02:00,10.9,,98.0°,15.4 kn,-,2021-05-09,2021-04-26-10:22
SERI ANGGUN,9321653,533953000,Malaysia,283,43,95729,83395,"Dapeng Anch., China",2021-04-14-07:30,"Das Island, United Arab Emirates (UAE)",,2021-05-08-09:59,9.7,,77.4°,11.4 kn,-,2021-05-09,2021-05-08-07:08
K. FREESIA,9186584,441278000,Korea,277,43,95381,76022,"Okpo Anch., Korea",2021-05-04-22:39,"Ras Laffan, Qatar",,2021-05-22-21:01,9.8,,191.4°,17.1 kn,-,2021-05-09,2021-05-08-16:34
K. ACACIA,9157636,441259000,Korea,277,43,95376,75768,"Incheon, Korea",2021-05-07-01:46,"Qalhat, Oman",,2021-05-21-04:00,10.3,,212.8°,16.9 kn,Under way,2021-05-09,2021-05-09-03:53
GALICIA SPIRIT,9247364,224482000,Spain,280,43,94822,79166,"Taichung, Taiwan",2021-05-06-22:01,Destination not available,,-,9.2,,198.3°,15.7 kn,-,2021-05-09,2021-05-07-10:07
HISPANIA SPIRIT,9230048,224985000,Spain,280,43,94822,79363,"Livorno Anch., Italy",2021-04-24-08:14,"Point Fortin, Trinidad & Tobago",,2021-05-13-06:00,9.3,,251.8°,11.7 kn,-,2021-05-09,2021-05-01-19:19
PUTERI NILAM SATU,9229647,533747000,Malaysia,276,43,94446,76124,"Pasir Gudang, Johor, Malaysia",2021-05-03-09:01,Destination not available,,-,5.8,,0.0°,0.0 kn,Moored,2021-05-09,2021-05-09-08:55
DISHA,9250713,215533000,Malta,277,43,94058,81097,"Dahej, India",2021-05-05-00:45,"Ras Laffan, Qatar",,2021-05-14-21:00,9.0,,289.0°,17.1 kn,-,2021-05-09,2021-05-05-21:06
IBERICA KNUTSEN,9326603,257990000,Norway,277,43,93915,77541,"Barcelona, Spain",2021-05-07-04:47,"Ferrol, Spain",,2021-05-12-10:00,9.0,,349.0°,10.5 kn,Under way,2021-05-09,2021-05-09-08:55
METHANE PRINCESS,9253715,538004164,Marshall Islands,277,43,93899,77707,"Corpus Christi Anch., United States (USA)",2021-04-21-16:27,FOR ORDER,,2021-05-20-06:00,9.6,,258.4°,0.1 kn,At anchor,2021-05-09,2021-05-09-08:44
BW EVERETT,9243148,564988000,Singapore,277,43,93844,77410,"Panama Canal Anch. Pacific, Panama",2021-05-08-07:54,"Balboa, Panama",,2021-05-14-00:00,9.8,,1.8°,14.7 kn,Under way,2021-05-09,2021-05-08-22:46
BW BOSTON,9230062,258617000,Norway,277,43,93844,77410,"Ras Laffan, Qatar",2021-04-30-22:46,"Barcelona, Spain",,2021-05-18-00:01,11.2,,325.9°,12.0 kn,Under way,2021-05-09,2021-05-09-05:22
BERGE ARZEW,9256597,311745000,Bahamas,277,43,93844,77470,"Arzew, Algeria",2021-05-08-17:49,"Barcelona, Spain",,2021-05-09-15:00,11.4,,26.0°,17.8 kn,Under way,2021-05-09,2021-05-09-08:51
EXCALIBUR,9230050,205421000,Belgium,277,43,93786,77822,"Port Elizabeth Anch., South Africa",2021-04-19-04:58,GULF OF MEXICO,,2021-05-15-04:00,9.0,,22.3°,1.9 kn,Under way,2021-05-09,2021-05-09-08:54
HL SUR,9176010,440130000,Korea,280,43,93769,75159,"Qalhat, Oman",2021-04-28-06:38,"Tongyeong, Korea",,2021-05-12-02:00,11.8,,45.4°,17.7 kn,Under way,2021-05-09,2021-05-09-00:18
SINGAPORE ENERGY,9238040,538007985,Marshall Islands,279,43,93498,75074,"Aruba Anch., Aruba",2021-05-02-12:04,"Cove Point, United States (USA)",,2021-05-10-04:01,9.5,,193.8°,0.8 kn,-,2021-05-09,2021-04-18-01:32
