Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
LNG ONDO,9311579,310550000,Bermuda,288,43,98798,83688,"BONNY, NIGERIA.",Bonny,2021-04-13-09:00,9.5,14.36506 N/20.09858 W,160.6°,11.8 kn,-,2021-04-07,2021-04-06-14:42
LNG KANO,9311567,310534000,Bermuda,288,43,98798,83961,CARTAGENA,Cartagena,2021-04-15-13:00,11.5,13.42417 N/19.26525 W,179.8°,18.3 kn,-,2021-04-07,2021-03-28-19:29
AMALI,9496317,508111132,Brunei,284,43,98490,72800,-,-,-,9.5,34.10205 N/139.25299 E,212.5°,16.3 kn,-,2021-04-07,2021-03-21-22:26
GASLOG SKAGEN,9626285,310664000,Bermuda,285,43,98451,81847,-,-,-,11.3,32.61095 N/30.21691 E,288.1°,17.7 kn,Under way,2021-04-07,2021-04-07-04:02
GASLOG SANTIAGO,9600530,310652000,Bermuda,285,43,98451,82178,FOR ORDERS,FOR ORDERS,2021-04-13-16:00,9.5,20.51787 N/71.78575 E,242.9°,12.9 kn,-,2021-04-07,2021-04-05-11:37
GASLOG SYDNEY,9626273,310657000,Bermuda,285,43,98451,82010,CNTSN>KRYOS,Yeosu,2021-04-06-00:00,8.9,38.04152 N/123.02432 E,109.6°,13.2 kn,-,2021-04-07,2021-04-03-20:35
GASLOG SEATTLE,9634086,310669000,Bermuda,285,43,98075,81982,CNNGB,Ningbo,2021-04-09-22:00,11.1,23.95996 S/152.1412 E,98.6°,18.1 kn,-,2021-04-07,2021-04-01-21:43
GASLOG SHANGHAI,9600528,310644000,Bermuda,285,43,98075,82104,PAKISTAN FOR ORDERS,PAKISTAN FOR ORDERS,2021-04-16-00:01,11.2,34.69354 S/18.2292 E,131.8°,17.5 kn,-,2021-04-07,2021-04-02-13:44
GASLOG SARATOGA,9638903,310696000,Bermuda,285,45,98075,81855,QA RLF,RasLaffan,2021-04-06-09:00,9.3,25.82405 N/51.8596 E,217.5°,0.0 kn,At anchor,2021-04-07,2021-04-07-06:08
GASLOG SALEM,9638915,310699000,Bermuda,285,43,98075,82023,SABINE PASS,SABINE PASS,2021-04-23-06:00,9.3,33.16263 S/16.95181 E,300.8°,12.5 kn,-,2021-04-07,2021-03-29-16:00
SHEN HAI,9583677,477413600,Hong Kong,290,43,98068,82625,CN YANGSHAN>MY BTU,"Bintulu,Sarawak",2021-04-06-22:45,11.9,30.60058 N/122.10452 E,278.3°,0.0 kn,Moored,2021-04-07,2021-04-07-05:05
TANGGUH JAYA,9349019,370502000,Panama,285,43,97897,82313,AU GLT,Gladstone,2021-04-13-14:00,9.1,33.97839 N/134.92004 E,182.6°,16.6 kn,-,2021-04-07,2021-04-03-11:15
TANGGUH PALUNG,9355379,370766000,Panama,285,43,97897,82407,CN NBO,Ningbo,2021-04-07-22:00,11.2,29.45429 N/122.87026 E,107.5°,11.7 kn,-,2021-04-07,2021-02-19-12:33
LNG BORNO,9322803,310543000,Bermuda,285,43,97874,82030,BONNY,Bonny,2021-05-07-06:00,9.2,22.20603 N/68.60516 E,57.2°,16.0 kn,-,2021-04-07,2021-04-05-03:00
LNG OGUN,9322815,310542000,Bermuda,285,43,97874,81997,MONTOIR FRANCE,Montoir,2021-04-06-21:30,11.4,47.29914 N/2.14246 W,52.8°,0.0 kn,Moored,2021-04-07,2021-04-07-06:22
DAPENG SUN,9308479,477985700,Hong Kong,292,43,97871,83050,AU DAM>CN DPG,Dapeng,2021-04-12-02:00,11.4,18.71847 S/116.79828 E,358.4°,18.9 kn,-,2021-04-07,2021-04-05-13:09
DAPENG STAR,9369473,477614400,Hong Kong,292,43,97871,82428,DAPENG CHINA,Dapeng,2021-04-07-02:00,11.5,22.57472 N/114.4319 E,161.0°,0.0 kn,Moored,2021-04-07,2021-04-07-03:59
GASLOG SAVANNAH,9352860,310583000,Bermuda,285,43,97818,82291,RED SEA,Jeddah,2021-04-08-18:00,11.0,22.26936 N/37.6033 E,334.1°,16.4 kn,Under way,2021-04-07,2021-04-07-05:35
GASLOG SINGAPORE,9355604,310594000,Bermuda,285,43,97818,82339,CNQDG,Qingdao,2021-04-06-04:00,10.8,31.77091 N/122.41182 E,258.2°,0.7 kn,Under way,2021-04-07,2021-04-07-05:58
STENA BLUE SKY,9315393,235116537,United Kingdom,285,43,97754,84362,-,-,-,9.0,32.39332 N/122.30303 E,116.0°,14.0 kn,-,2021-04-07,2021-03-10-07:01
LNG UNITY,9306495,228337700,France,290,43,97741,86385,MQ FDF,FortdeFrance,2021-03-30-00:30,11.0,14.57427 N/61.10101 W,337.1°,0.1 kn,-,2021-04-07,2021-03-31-11:54
LNG ALLIANCE,9320075,228333700,France,290,43,97741,86385,COLON,Colon,2021-03-29-12:00,11.1,9.34003 N/79.9114 W,97.4°,0.0 kn,Moored,2021-04-07,2021-04-07-06:37
LNG OYO,9267003,310487000,Bermuda,285,43,97561,83068,NG BON,Bonny,2021-04-27-11:30,9.5,21.66853 N/72.50958 E,14.1°,0.0 kn,-,2021-04-07,2021-03-27-04:14
LNG RIVER ORASHI,9266982,310447000,Bermuda,285,43,97561,83068,TW KHH > NG BON,Bonny,2021-05-03-11:00,9.3,22.18597 N/119.44228 E,208.5°,15.9 kn,-,2021-04-07,2021-04-04-04:39
LNG BENUE,9267015,310495000,Bermuda,285,43,97561,82971,JOHOR ANCHORAGE,JOHOR ANCHORAGE,2021-03-31-09:00,8.2,1.45436 N/103.87683 E,176.0°,0.0 kn,Moored,2021-04-07,2021-04-07-06:39
LNG ENUGU,9266994,310482000,Bermuda,285,43,97561,83160,BONNY NIGERIA,Bonny,2021-04-09-08:00,9.2,11.55622 N/18.07546 W,182.0°,12.7 kn,-,2021-04-07,2021-04-02-21:37
MARAN GAS ASCLEPIUS,9302499,240386000,Greece,285,43,97496,84659,FOR ORDERS,FOR ORDERS,2021-03-25-21:01,9.2,25.84053 N/51.85627 E,5.0°,0.1 kn,At anchor,2021-04-07,2021-04-07-06:34
UMM BAB,9308431,240411000,Greece,285,43,97496,84659,FOR ORDERS,FOR ORDERS,2021-04-10-06:00,9.3,14.74017 N/71.98515 E,327.0°,19.0 kn,-,2021-04-07,2021-04-06-15:15
SIMAISMA,9320386,240486000,Greece,285,43,97496,84863,FOR ORDERS,FOR ORDERS,2021-04-21-22:00,11.2,24.86282 N/58.04212 E,117.0°,14.2 kn,-,2021-04-07,2021-04-05-20:16
AL JASSASIYA,9324435,240615000,Greece,285,43,97496,84554,ORDERS,ORDERS,2021-04-06-01:00,11.0,24.49042 N/65.03658 E,3.0°,12.2 kn,-,2021-04-07,2021-04-04-09:36
GOLAR MARIA,9320374,538002609,Marshall Islands,277,43,97491,84823,-,-,-,9.9,6.27713 S/105.39888 E,234.0°,14.6 kn,-,2021-04-07,2021-03-14-20:14
MARAN GAS CORONIS,9331048,240639000,Greece,285,43,97491,84776,PNG FOR ORDERS,PNG FOR ORDERS,2021-04-07-00:00,9.5,32.1904 N/122.31303 E,127.3°,11.1 kn,-,2021-04-07,2021-03-23-10:27
SALALAH LNG,9300817,371561000,Panama,285,43,96671,81034,QAL OMN,QAL OMN,2021-06-04-08:00,9.2,12.79628 N/71.94422 E,311.0°,17.8 kn,-,2021-04-07,2021-04-02-15:58
IBRA LNG,9326689,357734000,Panama,285,43,96671,81057,OMQAL,Qalhat,2021-04-14-04:00,9.0,1.29732 N/103.32045 E,312.0°,10.2 kn,-,2021-04-07,2021-04-05-08:33
MILAHA QATAR,9321732,229129000,Malta,283,43,96508,77803,RAS LAFFAN,RasLaffan,2021-04-07-03:30,9.1,25.89846 N/51.64899 E,178.2°,0.0 kn,Under way,2021-04-07,2021-04-07-06:33
AL THAKHIRA,9298399,309975000,Bahamas,283,43,95824,78542,FOR ORDERS,FOR ORDERS,2021-04-06-15:00,9.4,32.29727 N/32.57187 E,8.3°,0.5 kn,Under way,2021-04-07,2021-04-07-06:40
EJNAN,9334076,309201000,Bahamas,283,43,95824,78403,QA RLF,RasLaffan,2021-03-23-22:00,9.3,25.85342 N/51.8136 E,186.2°,0.2 kn,At anchor,2021-04-07,2021-04-07-06:37
LUSAIL,9285952,311628000,Bahamas,283,43,95824,78489,PK BQM,PortQasim,2021-04-05-01:00,11.4,24.88805 N/57.97546 E,123.2°,16.0 kn,-,2021-04-07,2021-04-03-16:18
METHANE LYDON VOLNEY,9307205,310514000,Bermuda,283,43,95753,78957,CARTAGENA,Cartagena,2021-04-11-08:00,9.7,37.55261 N/1.04272 W,98.0°,0.1 kn,At anchor,2021-04-07,2021-04-07-06:18
METHANE HEATHER SALLY,9321744,310528000,Bermuda,283,43,95753,79084,"KALAMATA,GREECE",Kalamata,2021-04-03-07:00,9.7,35.9419 N/18.92079 E,78.0°,12.0 kn,-,2021-04-07,2021-04-02-11:06
METHANE RITA ANDREA,9307188,310499000,Bermuda,283,43,95753,79046,-,-,-,,1.46854 N/103.83172 E,0.0°,0.0 kn,-,2021-04-07,2021-04-07-03:42
METHANE SHIRLEY ELISABETH,9321756,310535000,Bermuda,283,43,95753,78997,PH MNL,Manila,2021-04-07-02:00,11.6,14.5483 N/120.85145 E,48.5°,0.1 kn,At anchor,2021-04-07,2021-04-07-06:39
METHANE JANE ELIZABETH,9307190,310510000,Bermuda,283,43,95753,78984,FOR ORDERS,FOR ORDERS,2021-05-08-06:00,11.4,11.83777 N/68.50538 W,99.6°,15.8 kn,-,2021-04-07,2021-04-01-23:20
SERI ANGKASA,9321665,533957000,Malaysia,283,43,95729,71500,MY MKZ,MY MKZ,2021-04-10-08:00,11.2,23.93305 S/151.9963 E,97.0°,16.3 kn,-,2021-04-07,2021-03-30-12:58
SERI ANGGUN,9321653,533953000,Malaysia,283,43,95729,83395,BTU MY,BTU MY,2021-04-02-06:00,9.1,34.50955 N/139.62694 E,284.5°,10.3 kn,-,2021-04-07,2021-03-23-07:25
K. FREESIA,9186584,441278000,Korea,277,43,95381,76022,QARLF,RasLaffan,2021-04-16-21:01,9.9,34.86841 N/129.12535 E,251.3°,12.7 kn,-,2021-04-07,2021-03-30-21:58
K. ACACIA,9157636,441259000,Korea,277,43,95376,75768,OM QAL,Qalhat,2021-04-20-04:00,10.2,36.9632 N/126.1019 E,229.6°,16.7 kn,-,2021-04-07,2021-04-06-03:03
GULF ENERGY,7390143,538001388,Marshall Islands,285,44,95016,72472,-,-,-,6.5,59.35904 N/5.30028 E,85.7°,0.0 kn,Moored,2021-04-07,2021-04-07-06:38
BERING ENERGY,7390155,538001389,Marshall Islands,285,44,95016,72555,-,-,-,9.9,43.47308 N/8.22339 W,329.4°,0.0 kn,-,2021-04-07,2020-08-29-21:47
GALICIA SPIRIT,9247364,224482000,Spain,280,43,94822,79166,FOR ORDERS,FOR ORDERS,2021-04-10-00:00,9.3,1.3834 N/104.4475 E,56.0°,11.9 kn,-,2021-04-07,2021-04-04-13:31
HISPANIA SPIRIT,9230048,224985000,Spain,280,43,94822,79363,FOR ORDERS,FOR ORDERS,2021-04-09-06:00,9.4,39.64021 N/28.06197 W,251.6°,15.2 kn,-,2021-04-07,2021-04-01-21:09
PORTOVYY,9246621,273211890,Russia,277,43,94499,77773,-,-,-,9.2,57.41743 N/10.67122 E,282.7°,0.1 kn,At anchor,2021-04-07,2021-04-07-06:39
PUTERI NILAM SATU,9229647,533747000,Malaysia,276,43,94446,76124,JP SMA,Souma,2021-04-08-00:00,11.3,22.30021 N/122.18164 E,200.8°,15.9 kn,-,2021-04-07,2021-03-27-00:20
DISHA,9250713,215533000,Malta,277,43,94058,81097,"RASLAFFAN,QATAR",RasLaffan,2021-05-09-21:00,9.0,20.90142 N/72.12863 E,193.0°,14.2 kn,-,2021-04-07,2021-04-06-17:43
IBERICA KNUTSEN,9326603,257990000,Norway,277,43,93915,77541,FR DKK,Dunkerque,2021-04-07-13:00,11.3,50.94091 N/1.55006 E,45.8°,15.2 kn,Under way,2021-04-07,2021-04-07-06:37
METHANE PRINCESS,9253715,538004164,Marshall Islands,277,43,93899,77707,FOR ORDER,FOR ORDER,2021-04-11-08:00,9.6,49.1894 N/8.09496 W,273.3°,20.3 kn,-,2021-04-07,2021-03-31-11:53
BW EVERETT,9243148,564988000,Singapore,277,43,93844,77410,"BONTANG, IND","BONTANG, IND",2021-04-01-22:45,9.6,1.27444 N/104.23717 E,78.7°,10.7 kn,-,2021-04-07,2021-03-27-11:42
BW BOSTON,9230062,258617000,Norway,277,43,93844,77410,OPEN SEA FOR ORDERS,OPEN SEA FOR ORDERS,2021-04-07-22:00,11.0,1.43342 N/104.49967 E,45.8°,15.3 kn,-,2021-04-07,2021-04-02-11:04
BERGE ARZEW,9256597,311745000,Bahamas,277,43,93844,77470,ESCAR>TRMRA,Marmara,2021-04-07-05:00,11.4,39.91964 N/25.94107 E,41.5°,10.1 kn,Under way,2021-04-07,2021-04-07-06:39
